match,artist,external,points,Genre,followingCount,Film,playcount,id,Story,thumbnailUrl,department,displayName,Budget,likedCount,Rotten Tomatoes,visible,enabled,level,name,Profit,followerCount,Worldwide Gross,externalContributor,likeCount
6,leandro.ferrara,false,2166,Engineering,9,leandro.ferrara,6,5421,Engineering,https://brewspace.jiveland.com/api/core/v3/people/5421/avatar,Engineering,Leandro Ferrara,2166,6,0,true,true,Level 3,leandro.ferrara,6,9,6,false,0
58,ryan.king,false,20645,Professional Services,106,ryan.king,58,2061,Professional Services,https://brewspace.jiveland.com/api/core/v3/people/2061/avatar,Professional Services,Ryan King,20645,42,16,true,true,Level 5,ryan.king,42,146,42,false,16
248,john.medway,false,5804,Engineering,91,john.medway,248,3400,Engineering,https://brewspace.jiveland.com/api/core/v3/people/3400/avatar,Engineering,John Medway,5804,28,220,true,true,Level 4,john.medway,28,80,28,false,220
110,chris.dempsey,false,8478,Professional Services,73,chris.dempsey,110,3117,Professional Services,https://brewspace.jiveland.com/api/core/v3/people/3117/avatar,Professional Services,Chris Dempsey,8478,80,30,true,true,Level 4,chris.dempsey,80,62,80,false,30
35,federico.lanusse,false,4522,Engineering,38,federico.lanusse,35,2691,Engineering,https://brewspace.jiveland.com/api/core/v3/people/2691/avatar,Engineering,Federico Lanusse,4522,16,19,true,true,Level 3,federico.lanusse,16,37,16,false,19
1,chris.yeo,false,278,Hosting,11,chris.yeo,1,6314,Hosting,https://brewspace.jiveland.com/api/core/v3/people/6314/avatar,Hosting,Chris Yeo,278,1,0,true,true,Level 1,chris.yeo,1,11,1,false,0
6,brad.jordan,false,3040,Engineering,58,brad.jordan,6,2913,Engineering,https://brewspace.jiveland.com/api/core/v3/people/2913/avatar,Engineering,Brad Jordan,3040,5,1,true,true,Level 3,brad.jordan,5,60,5,false,1
174,wim.stoop,false,17282,Product Marketing,149,wim.stoop,174,4044,Product Marketing,https://brewspace.jiveland.com/api/core/v3/people/4044/avatar,Product Marketing,Wim Stoop,17282,98,76,true,true,Level 5,wim.stoop,98,127,98,false,76
10,ilan.twig,false,11772,Engineering,25,ilan.twig,10,5723,Engineering,https://brewspace.jiveland.com/api/core/v3/people/5723/avatar,Engineering,Ilan Twig,11772,9,1,true,true,Level 4,ilan.twig,9,36,9,false,1
128,jin.prowse,false,6345,Sales Management,29,jin.prowse,128,5677,Sales Management,https://brewspace.jiveland.com/api/core/v3/people/5677/avatar,Sales Management,Jin Prowse,6345,36,92,true,true,Level 4,jin.prowse,36,39,36,false,92
1,margaret.lewicka,false,4551,Hosting,41,margaret.lewicka,1,3791,Hosting,https://brewspace.jiveland.com/api/core/v3/people/avatar/deactivated,Hosting,Margaret Lewicka,4551,1,0,true,false,Level 3,margaret.lewicka,1,76,1,false,0
29,shane.morris,false,8022,Hosting,43,shane.morris,29,4098,Hosting,https://brewspace.jiveland.com/api/core/v3/people/4098/avatar,Hosting,Shane Morris,8022,21,8,true,true,Level 4,shane.morris,21,87,21,false,8
89,david.cook,false,14462,Infrastructure Engineering,29,david.cook,89,5071,Infrastructure Engineering,https://brewspace.jiveland.com/api/core/v3/people/5071/avatar,Infrastructure Engineering,David Cook,14462,86,3,true,true,Level 5,david.cook,86,84,86,false,3
149,ken.granger,false,5230,Sales Engineers - US,49,ken.granger,149,3217,Sales Engineers - US,https://brewspace.jiveland.com/api/core/v3/people/3217/avatar,Sales Engineers - US,Ken Granger,5230,142,7,true,true,Level 4,ken.granger,142,57,142,false,7
